roadnumber	country
1	Argentina
1 C	Argentina
10	Argentina
100	Argentina
101	Argentina
102	Argentina
103	Argentina
104	Argentina
105	Argentina
106	Argentina
107	Argentina
108	Argentina
11	Argentina
110	Argentina
111	Argentina
112	Argentina
113	Argentina
114	Argentina
115	Argentina
116	Argentina
117	Argentina
118	Argentina
119	Argentina
12	Argentina
120	Argentina
121	Argentina
123	Argentina
126	Argentina
127	Argentina
129	Argentina
13	Argentina
130	Argentina
131	Argentina
132	Argentina
135	Argentina
136	Argentina
138	Argentina
14	Argentina
140	Argentina
141	Argentina
142	Argentina
143	Argentina
144	Argentina
145	Argentina
146	Argentina
147	Argentina
148	Argentina
149	Argentina
15	Argentina
15 A	Argentina
150	Argentina
150 S	Argentina
151	Argentina
152	Argentina
153	Argentina
154	Argentina
155	Argentina
156	Argentina
157	Argentina
158	Argentina
159	Argentina
15A	Argentina
16	Argentina
160	Argentina
161	Argentina
162	Argentina
163	Argentina
164	Argentina
165	Argentina
168	Argentina
169	Argentina
17	Argentina
170	Argentina
171	Argentina
173	Argentina
174	Argentina
175	Argentina
176	Argentina
177	Argentina
178	Argentina
179	Argentina
18	Argentina
180	Argentina
182	Argentina
183	Argentina
184	Argentina
185	Argentina
186	Argentina
188	Argentina
19	Argentina
190	Argentina
191	Argentina
192	Argentina
193	Argentina
194	Argentina
195	Argentina
196	Argentina
197	Argentina
1B	Argentina
2	Argentina
20	Argentina
200	Argentina
201	Argentina
202	Argentina
203	Argentina
204	Argentina
205	Argentina
206	Argentina
207	Argentina
208	Argentina
209	Argentina
21	Argentina
210	Argentina
211	Argentina
212	Argentina
213	Argentina
214	Argentina
215	Argentina
219	Argentina
22	Argentina
220	Argentina
221	Argentina
222	Argentina
223	Argentina
224	Argentina
225	Argentina
226	Argentina
227	Argentina
228	Argentina
229	Argentina
22A	Argentina
22B	Argentina
23	Argentina
230	Argentina
231	Argentina
232	Argentina
234	Argentina
237	Argentina
239	Argentina
23A	Argentina
24	Argentina
242	Argentina
246	Argentina
249	Argentina
25	Argentina
250	Argentina
251	Argentina
255	Argentina
259	Argentina
25A	Argentina
26	Argentina
260	Argentina
265	Argentina
269	Argentina
27	Argentina
27 A	Argentina
270	Argentina
277	Argentina
278	Argentina
279	Argentina
27A	Argentina
27B	Argentina
28	Argentina
281	Argentina
288	Argentina
29	Argentina
290	Argentina
293	Argentina
295	Argentina
2A	Argentina
2B	Argentina
3	Argentina
30	Argentina
301	Argentina
302	Argentina
303	Argentina
304	Argentina
305	Argentina
306	Argentina
307	Argentina
308	Argentina
309	Argentina
31	Argentina
310	Argentina
311	Argentina
312	Argentina
314	Argentina
315	Argentina
317	Argentina
318	Argentina
319	Argentina
32	Argentina
320	Argentina
321	Argentina
322	Argentina
323	Argentina
324	Argentina
325	Argentina
326	Argentina
327	Argentina
328	Argentina
329	Argentina
33	Argentina
330	Argentina
331	Argentina
332	Argentina
334	Argentina
336	Argentina
338	Argentina
339	Argentina
33A	Argentina
34	Argentina
340	Argentina
341	Argentina
344	Argentina
345	Argentina
347	Argentina
35	Argentina
351	Argentina
352	Argentina
357	Argentina
36	Argentina
365	Argentina
366	Argentina
37	Argentina
379	Argentina
38	Argentina
39	Argentina
39B	Argentina
3N	Argentina
3S	Argentina
4	Argentina
40	Argentina
400	Argentina
406	Argentina
41	Argentina
412	Argentina
413	Argentina
42	Argentina
424	Argentina
43	Argentina
430	Argentina
431	Argentina
436	Argentina
43A	Argentina
44	Argentina
45	Argentina
456	Argentina
46	Argentina
47	Argentina
47A	Argentina
48	Argentina
49	Argentina
491	Argentina
4A	Argentina
4B	Argentina
5	Argentina
50	Argentina
503	Argentina
51	Argentina
510	Argentina
511	Argentina
52	Argentina
523	Argentina
523 S	Argentina
52N	Argentina
53	Argentina
54	Argentina
55	Argentina
56	Argentina
57	Argentina
58	Argentina
59	Argentina
5A	Argentina
5B	Argentina
6	Argentina
60	Argentina
61	Argentina
62	Argentina
63	Argentina
64	Argentina
65	Argentina
66	Argentina
67	Argentina
68	Argentina
69	Argentina
6A	Argentina
6B	Argentina
7	Argentina
70	Argentina
71	Argentina
72	Argentina
